Year;League              ;Position;Team                          ;Games;Wins;Draws;Defeats;Goals Scored;Conceded Goals;Goals Difference
2018;Premiere League     ; 1      ;Manchester City FC            ;38   ;32  ; 2   ; 4     ; 95         ; 23           ;  72
2018;Premiere League     ; 2      ;Liverpool FC                  ;38   ;30  ; 7   ; 1     ; 89         ; 22           ;  67
2018;Premiere League     ; 3      ;Chelsea FC                    ;38   ;21  ; 9   ; 8     ; 63         ; 39           ;  24
2018;Premiere League     ; 4      ;Tottenham Hotspur FC          ;38   ;23  ; 2   ;13     ; 67         ; 39           ;  28
2018;Premiere League     ; 5      ;Arsenal FC                    ;38   ;21  ; 7   ;10     ; 73         ; 51           ;  22
2018;Premiere League     ; 6      ;Manchester United FC          ;38   ;19  ; 9   ;10     ; 65         ; 54           ;  11
2018;Premiere League     ; 7      ;Wolverhampton Wanderers FC    ;38   ;16  ; 9   ;13     ; 47         ; 46           ;   1
2018;Premiere League     ; 8      ;Everton FC                    ;38   ;15  ; 9   ;14     ; 54         ; 46           ;   8
2018;Premiere League     ; 9      ;Leicester City FC             ;38   ;15  ; 7   ;16     ; 51         ; 48           ;   3
2018;Premiere League     ;10      ;West Ham United FC            ;38   ;15  ; 7   ;16     ; 52         ; 55           ;  -3
2018;Premiere League     ;11      ;Watford FC                    ;38   ;14  ; 8   ;16     ; 52         ; 59           ;  -7
2018;Premiere League     ;12      ;Crystal Palace FC             ;38   ;14  ; 7   ;17     ; 51         ; 53           ;  -2
2018;Premiere League     ;13      ;Newcastle United FC           ;38   ;12  ; 9   ;17     ; 42         ; 48           ;  -6
2018;Premiere League     ;14      ;AFC Bournemouth               ;38   ;13  ; 6   ;19     ; 56         ; 70           ; -14
2018;Premiere League     ;15      ;Burnley FC                    ;38   ;11  ; 7   ;20     ; 45         ; 68           ; -23
2018;Premiere League     ;16      ;Southampton FC                ;38   ; 9  ;12   ;17     ; 45         ; 65           ; -20
2018;Premiere League     ;17      ;Brighton & Hove Albion FC     ;38   ; 9  ; 9   ;20     ; 35         ; 60           ; -25
2018;Premiere League     ;18      ;Cardiff City FC               ;38   ;10  ; 4   ;24     ; 34         ; 69           ; -35
2018;Premiere League     ;19      ;Fulham FC                     ;38   ; 7  ; 5   ;26     ; 34         ; 81           ; -47
2018;Premiere League     ;20      ;Huddersfield Town AFC         ;38   ; 3  ; 7   ;28     ; 22         ; 76           ; -54
2018;Ligue 1             ; 1      ;Paris Saint-Germain FC        ;38   ;29  ; 4   ; 5     ;105         ; 35           ;  70
2018;Ligue 1             ; 2      ;Lille OSC                     ;38   ;22  ; 9   ; 7     ; 68         ; 33           ;  35
2018;Ligue 1             ; 3      ;Olympique Lyonnais            ;38   ;21  ; 9   ; 8     ; 70         ; 47           ;  23
2018;Ligue 1             ; 4      ;AS Saint-Étienne              ;38   ;19  ; 9   ;10     ; 59         ; 41           ;  18
2018;Ligue 1             ; 5      ;Olympique de Marseille        ;38   ;18  ; 7   ;13     ; 60         ; 52           ;   8
2018;Ligue 1             ; 6      ;Montpellier HSC               ;38   ;15  ;14   ; 9     ; 53         ; 42           ;  11
2018;Ligue 1             ; 7      ;OGC Nice                      ;38   ;15  ;11   ;12     ; 30         ; 35           ;  -5
2018;Ligue 1             ; 8      ;Stade de Reims                ;38   ;13  ;16   ; 9     ; 39         ; 42           ;  -3
2018;Ligue 1             ; 9      ;Nîmes Olympique               ;38   ;15  ; 8   ;15     ; 57         ; 58           ;  -1
2018;Ligue 1             ;10      ;Stade Rennais FC 1901         ;38   ;13  ;13   ;12     ; 55         ; 52           ;   3
2018;Ligue 1             ;11      ;RC Strasbourg Alsace          ;38   ;11  ;16   ;11     ; 58         ; 48           ;  10
2018;Ligue 1             ;12      ;FC Nantes                     ;38   ;13  ; 9   ;16     ; 48         ; 48           ;   0
2018;Ligue 1             ;13      ;Angers SCO                    ;38   ;10  ;16   ;12     ; 44         ; 49           ;  -5
2018;Ligue 1             ;14      ;FC Girondins de Bordeaux      ;38   ;10  ;11   ;17     ; 34         ; 42           ;  -8
